City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mareeba,20,AU,1543881600,59,-16.99,145.42,89.6,11.41
Shimoda,75,JP,1543881600,88,34.7,138.93,68.0,5.82
Lysyanka,88,UA,1543883329,98,49.25,30.83,33.11,14.94
Lavrentiya,68,RU,1543883329,100,65.58,-170.99,17.32,9.57
Markova,20,RU,1543883329,92,52.21,104.21,-16.39,2.37
Rio Grande,12,BR,1543883081,71,-32.03,-52.1,68.62,15.68
Caravelas,92,BR,1543883169,100,-17.73,-39.27,74.29,7.9
Flinders,75,AU,1543881600,77,-34.58,150.85,66.2,4.7
Omsukchan,20,RU,1543883330,45,62.53,155.8,-29.67,2.53
Varia,75,GR,1543881000,87,38.6,21.58,48.2,2.04
Nishiwaki,75,JP,1543881600,82,35.01,135.0,66.2,12.75
Atasu,0,KZ,1543883331,51,48.68,71.64,-4.24,6.62
Vostok,48,RU,1543883331,84,46.45,135.83,21.01,2.82
Beloha,0,MG,1543883331,89,-25.17,45.06,65.56,2.3
Male,80,UA,1543883331,88,50.74,33.7,21.01,12.93
Fonte Boa,76,BR,1543883332,97,-2.51,-66.09,74.78,2.26
Kendari,12,ID,1543883332,100,-3.99,122.52,79.1,3.71
Cap Malheureux,40,MU,1543878000,88,-19.98,57.61,73.4,4.7
Catuday,8,PH,1543883332,92,16.29,119.81,82.25,4.05
Humaita,40,AR,1543881600,68,-24.93,-65.37,66.2,3.36
Taklisah,20,TN,1543881600,76,36.78,10.63,57.2,4.7
Mount Vernon,75,US,1543882500,54,40.91,-73.84,50.0,8.05
Celestun,0,MX,1543883334,92,20.87,-90.4,80.36,12.37
Port Lincoln,0,AU,1543883334,82,-34.72,135.86,66.37,6.06
Tilichiki,76,RU,1543883334,69,60.47,166.1,-5.1,4.09
Nianzishan,0,CN,1543883334,26,47.51,122.88,4.58,8.79
Richmond,20,CA,1543882440,100,49.16,-123.14,42.8,3.36
Iquique,40,CL,1543881600,68,-20.22,-70.14,69.8,9.17
Najran,0,SA,1543878000,54,17.54,44.22,59.0,1.81
Carauari,88,BR,1543883335,96,-4.88,-66.9,74.38,3.27
Mahajanga,20,MG,1543881600,83,-15.72,46.32,78.8,8.01
Santa Cruz,1,US,1543881360,49,36.97,-122.03,57.92,5.82
Pacific Grove,1,US,1543881300,45,36.62,-121.92,57.92,4.7
Dekar,24,BW,1543883337,81,-21.53,21.93,66.41,8.01
Webuye,0,KE,1543883338,88,0.62,34.77,56.02,2.71
Ostersund,92,SE,1543881000,95,63.18,14.64,33.8,10.29
Hobyo,68,SO,1543883338,88,5.35,48.53,78.16,15.12
Mimongo,88,GA,1543883338,98,-1.62,11.6,71.68,1.7
Inirida,64,CO,1543883338,84,3.87,-67.92,77.8,1.97
Aljezur,24,PT,1543883339,100,37.31,-8.8,56.38,6.89
Pombas,56,BR,1543883339,96,-15.9,-54.74,70.55,3.83
Agua Verde,5,MX,1543880700,65,22.89,-105.97,78.8,8.05
Skarnes,75,NO,1543881000,93,60.25,11.68,39.2,4.7
Geraldton,90,CA,1543881600,78,49.72,-86.95,15.8,4.7
Velikiy Novgorod,88,RU,1543883340,89,58.52,31.28,29.96,8.41
Tadine,0,NC,1543883340,89,-21.55,167.88,79.51,9.53
Bend,1,US,1543882500,64,44.06,-121.32,37.94,5.82
Comodoro Rivadavia,20,AR,1543881600,30,-45.87,-67.48,84.2,18.34
Yulara,75,AU,1543881600,73,-25.24,130.99,75.2,5.82
Canchungo,0,GW,1543881600,88,12.07,-16.03,77.0,2.24
Zhangye,0,CN,1543883341,59,38.94,100.46,3.73,5.99
Kindu,56,CD,1543883341,96,-2.95,25.92,71.68,1.19
Tezu,0,IN,1543883341,59,27.93,96.16,49.85,1.86
Senador Guiomard,75,BR,1543881600,100,-10.15,-67.74,77.0,2.24
Owando,24,CG,1543883342,97,-0.49,15.91,70.15,2.08
Bar Harbor,40,US,1543882200,95,44.39,-68.2,39.02,3.36
Jose de Freitas,75,BR,1543881600,74,-4.76,-42.58,82.4,5.82
Port Said,0,EG,1543883343,81,25.34,30.55,46.61,2.86
Traverse City,90,US,1543882560,72,44.76,-85.62,30.92,11.41
Launceston,75,AU,1543881600,44,-41.43,147.14,59.0,6.93
Lasa,75,CY,1543881600,82,34.92,32.53,68.0,13.87
Itupiranga,40,BR,1543881600,94,-5.13,-49.33,78.8,3.36
Mocuba,0,MZ,1543883344,91,-16.84,36.99,72.08,2.71
Karratha,0,AU,1543883344,75,-20.74,116.85,72.31,8.86
Calabar,0,NG,1543883345,92,4.98,8.34,78.7,5.88
Padang,20,ID,1543881600,94,-0.92,100.36,77.0,3.36
Beberibe,20,BR,1543881600,88,-4.18,-38.13,80.6,11.41
Broome,0,GB,1543881360,93,52.47,1.45,39.2,6.93
Kargasok,0,RU,1543883346,47,59.06,80.87,-28.45,2.59
Colares,75,PT,1543879800,100,38.8,-9.45,50.0,11.41
Gafargaon,0,BD,1543883346,85,24.46,90.55,55.03,2.82
Biak,24,ID,1543883346,91,-0.91,122.88,81.8,1.59
Ati,8,TD,1543883346,22,13.21,18.34,73.12,10.8
Bujaru,90,BR,1543881600,88,-1.52,-48.04,78.8,4.7
Oil City,90,US,1543881360,92,41.43,-79.71,32.0,6.93
Placido de Castro,44,BR,1543883347,84,-10.34,-67.19,76.45,1.19
Moerai,92,PF,1543883347,100,-22.43,-151.33,76.72,9.13
Bom Jesus,92,BR,1543883348,98,-9.08,-44.36,72.53,2.59
Isangel,76,VU,1543883348,100,-19.55,169.27,78.56,13.04
Moctezuma,0,MX,1543883348,45,29.81,-109.68,59.44,1.86
Estacion Coahuila,1,MX,1543881420,17,32.19,-115.0,66.2,3.04
Niteroi,0,BR,1543881600,52,-29.95,-51.16,69.8,4.7
Porto Novo,75,BR,1543881600,82,-23.68,-45.44,66.2,4.7
Bemidji,90,US,1543882500,89,47.48,-94.89,19.94,6.93
Keshabpur,20,BD,1543883350,81,22.92,89.21,56.65,5.21
Magdalena,40,BO,1543878000,78,-13.26,-64.05,80.6,3.49
Farah,0,AF,1543883350,86,32.37,62.11,36.49,2.75
Lorengau,0,PG,1543883350,96,-2.02,147.27,85.13,5.88
Cap-aux-Meules,90,CA,1543881600,100,47.38,-61.86,32.0,3.36
Anshun,76,CN,1543883351,84,26.25,105.93,47.56,11.77
Pangnirtung,90,CA,1543878000,84,66.15,-65.72,5.0,11.41
Mastic Beach,1,US,1543881360,58,40.77,-72.85,51.08,8.05
Kibala,0,TD,1543881600,38,9.11,18.35,75.2,4.7
Plavinas,92,LV,1543883352,96,56.62,25.73,40.81,8.63
Jaffna,92,LK,1543883352,100,9.67,80.01,76.31,9.8
Tarbes,90,FR,1543881600,93,43.23,0.08,57.2,8.05
Kirkwall,48,GB,1543881000,100,58.98,-2.96,33.8,9.17
Lazaro Cardenas,20,MX,1543880820,38,28.39,-105.62,59.0,5.82
Pokhara,0,NP,1543883317,78,28.21,83.99,39.46,1.97
Mehamn,44,NO,1543883353,99,71.03,27.85,33.11,16.58
Punta Cardon,0,VE,1543883353,68,11.61,-70.22,81.35,21.05
Hecelchakan,20,MX,1543880640,94,20.17,-90.13,78.8,5.82
Reo,0,BF,1543883354,55,12.32,-2.47,66.68,3.53
Laguna,20,MX,1543880640,26,27.52,-110.01,78.8,4.7
Sorong,32,ID,1543883354,100,-0.86,131.25,81.8,3.98
San Cristobal,75,EC,1543881600,77,-0.39,-78.55,59.0,8.05
Cabedelo,40,BR,1543881600,78,-6.97,-34.84,80.6,8.05
Selma,20,US,1543881360,58,36.57,-119.61,59.0,4.7
Sistranda,75,NO,1543881000,86,63.73,8.83,41.0,16.11
Pevek,36,RU,1543883355,92,69.7,170.27,-3.7,18.14
Collie,0,AU,1543883356,67,-33.36,116.15,70.87,5.99
Cayenne,40,GF,1543881600,83,4.94,-52.33,80.6,6.93
Saint Anthony,40,US,1543881780,80,43.97,-111.68,24.98,4.7
Broken Hill,0,AU,1543881600,36,-31.97,141.45,75.2,10.29
Mahanoro,80,MG,1543883356,100,-19.9,48.8,71.9,2.48
Dabakala,0,CI,1543883357,73,8.36,-4.43,72.08,2.71
Naze,75,NG,1543881600,94,5.43,7.07,75.2,4.54
Mamlyutka,88,KZ,1543883357,91,54.94,68.54,18.4,8.3
Manokwari,8,ID,1543883357,100,-0.87,134.08,82.3,2.3
Aswan,88,EG,1543883358,85,24.09,32.9,55.12,7.29
Nalut,0,LY,1543883358,85,31.86,10.98,36.71,3.71
Qesarya,40,IL,1543882800,77,32.52,34.9,64.4,5.82
Kardasova Recice,92,CZ,1543883358,93,49.18,14.85,44.23,11.36
Guiratinga,44,BR,1543883358,94,-16.35,-53.76,73.03,2.48
Rongcheng,92,CN,1543883359,83,37.16,122.42,42.25,18.19
Governador Valadares,92,BR,1543883308,99,-18.85,-41.95,69.11,4.38
Nesna,75,NO,1543879200,99,66.2,13.02,41.0,2.24
Khanpur,24,PK,1543883272,90,28.65,70.66,57.41,3.04
Valence,75,FR,1543881600,87,44.93,4.89,48.2,4.7
Agapovka,90,RU,1543881600,92,53.3,59.13,17.6,6.71
Farmington,1,US,1543881180,63,36.73,-108.21,30.92,6.93
Viedma,68,AR,1543883360,32,-40.81,-62.99,67.0,13.27
Nagato,75,JP,1543881600,100,34.35,131.14,69.8,5.82
San Jeronimo,20,PE,1543883361,35,-13.65,-73.37,54.35,1.86
Udine,80,IT,1543882800,100,46.06,13.24,50.0,4.7
Sao Gotardo,92,BR,1543883362,97,-19.31,-46.05,69.11,7.85
Fujieda,75,JP,1543881600,100,34.93,138.23,68.0,4.7
Kollam,20,IN,1543881600,83,8.88,76.6,80.6,3.36
Ossora,0,RU,1543883362,100,59.24,163.07,9.26,17.4
Marienburg,40,DE,1543882800,93,52.12,9.98,48.2,11.41
Belaya Gora,44,RU,1543883363,64,68.54,146.19,-21.57,3.2
Traralgon,92,AU,1543883363,76,-38.19,146.54,59.44,4.83
Filadelfia,0,PY,1543883363,40,-22.35,-60.04,77.17,8.01
San Patricio,0,PY,1543883364,74,-26.98,-56.83,63.35,2.3
Yoichi,64,JP,1543883364,95,43.19,140.77,52.46,11.54
Semirom,0,IR,1543883364,65,31.41,51.57,15.38,1.97
Banda Aceh,64,ID,1543883364,99,5.56,95.32,75.46,2.82
Port Macquarie,48,AU,1543881600,34,-31.43,152.91,80.6,11.41
Marzuq,0,YE,1543883365,81,14.4,46.47,41.93,0.85
Petropavlovsk-Kamchatskiy,0,RU,1543881600,54,53.05,158.65,5.0,8.95
Hyeres,0,FR,1543881600,63,43.12,6.14,62.6,19.46
Dallas,40,US,1543881300,45,32.78,-96.8,51.08,6.93
Libenge,8,CD,1543883366,99,3.65,18.64,72.35,3.6
Banjarmasin,20,ID,1543881600,94,-3.32,114.59,80.6,4.7
Kalmunai,92,LK,1543883366,100,7.42,81.82,76.18,3.31
Nagorsk,88,RU,1543883366,91,59.32,50.8,19.21,10.36
Kuito,44,AO,1543883367,88,-12.38,16.94,60.16,4.88
Nuevo Progreso,75,US,1543881300,63,26.05,-97.95,73.94,10.29
Barvinkove,76,UA,1543883367,89,48.91,37.03,20.78,5.77
Anadyr,0,RU,1543881600,75,64.73,177.51,-13.01,20.13
Datong,0,CN,1543883368,42,40.09,113.3,6.43,7.34
Segou,0,SN,1543883368,56,12.41,-12.29,65.83,3.38
Kletskaya,80,RU,1543883368,94,49.31,43.06,25.55,5.88
Chilca,48,PE,1543881600,23,-13.22,-72.34,64.4,1.97
Selimpasa,75,TR,1543881000,76,41.06,28.38,55.4,6.93
Pandan,76,PH,1543883369,100,11.72,122.09,80.18,16.35
Ixtapa,5,MX,1543880940,69,20.71,-105.21,78.8,5.82
Nouadhibou,0,MR,1543878000,52,20.93,-17.03,66.2,6.93
Araouane,0,ML,1543883369,29,18.9,-3.53,54.71,5.32
Japura,92,ID,1543883370,99,-0.42,102.29,72.8,2.71
Bilma,0,NE,1543883370,34,18.69,12.92,56.78,13.33
